stage,epoch,elapsed_min,epoch_duration_min,learning_rate,lr,train_loss,val_diagnostic_weight_max,val_diagnostic_weight_mean,val_diagnostic_weight_min,val_global_count,val_global_fraction_below_10deg,val_global_fraction_below_1deg,val_global_fraction_below_2deg,val_global_fraction_below_5deg,val_global_mean_deg,val_global_median_deg,val_global_q68_deg,val_global_q84_deg,val_global_q90_deg,val_hybrid_loss_unweighted,val_hybrid_loss_weighted,val_kappa_mean,val_kappa_median,val_kappa_q68,val_kappa_q90,val_loge_2_2p5_count,val_loge_2_2p5_fraction_below_10deg,val_loge_2_2p5_fraction_below_1deg,val_loge_2_2p5_fraction_below_2deg,val_loge_2_2p5_fraction_below_5deg,val_loge_2_2p5_mean_deg,val_loge_2_2p5_median_deg,val_loge_2_2p5_q68_deg,val_loge_2_2p5_q84_deg,val_loge_2_2p5_q90_deg,val_loge_2p5_3_count,val_loge_2p5_3_fraction_below_10deg,val_loge_2p5_3_fraction_below_1deg,val_loge_2p5_3_fraction_below_2deg,val_loge_2p5_3_fraction_below_5deg,val_loge_2p5_3_mean_deg,val_loge_2p5_3_median_deg,val_loge_2p5_3_q68_deg,val_loge_2p5_3_q84_deg,val_loge_2p5_3_q90_deg,val_loge_3_3p5_count,val_loge_3_3p5_fraction_below_10deg,val_loge_3_3p5_fraction_below_1deg,val_loge_3_3p5_fraction_below_2deg,val_loge_3_3p5_fraction_below_5deg,val_loge_3_3p5_mean_deg,val_loge_3_3p5_median_deg,val_loge_3_3p5_q68_deg,val_loge_3_3p5_q84_deg,val_loge_3_3p5_q90_deg,val_loge_3p5_4_count,val_loge_3p5_4_fraction_below_10deg,val_loge_3p5_4_fraction_below_1deg,val_loge_3p5_4_fraction_below_2deg,val_loge_3p5_4_fraction_below_5deg,val_loge_3p5_4_mean_deg,val_loge_3p5_4_median_deg,val_loge_3p5_4_q68_deg,val_loge_3p5_4_q84_deg,val_loge_3p5_4_q90_deg,val_loge_4_4p5_count,val_loge_4_4p5_fraction_below_10deg,val_loge_4_4p5_fraction_below_1deg,val_loge_4_4p5_fraction_below_2deg,val_loge_4_4p5_fraction_below_5deg,val_loge_4_4p5_mean_deg,val_loge_4_4p5_median_deg,val_loge_4_4p5_q68_deg,val_loge_4_4p5_q84_deg,val_loge_4_4p5_q90_deg,val_loge_4p5_5_count,val_loge_4p5_5_fraction_below_10deg,val_loge_4p5_5_fraction_below_1deg,val_loge_4p5_5_fraction_below_2deg,val_loge_4p5_5_fraction_below_5deg,val_loge_4p5_5_mean_deg,val_loge_4p5_5_median_deg,val_loge_4p5_5_q68_deg,val_loge_4p5_5_q84_deg,val_loge_4p5_5_q90_deg,val_loge_5_5p5_count,val_loge_5_5p5_fraction_below_10deg,val_loge_5_5p5_fraction_below_1deg,val_loge_5_5p5_fraction_below_2deg,val_loge_5_5p5_fraction_below_5deg,val_loge_5_5p5_mean_deg,val_loge_5_5p5_median_deg,val_loge_5_5p5_q68_deg,val_loge_5_5p5_q84_deg,val_loge_5_5p5_q90_deg,val_loge_5p5_6_count,val_loge_5p5_6_fraction_below_10deg,val_loge_5p5_6_fraction_below_1deg,val_loge_5p5_6_fraction_below_2deg,val_loge_5p5_6_fraction_below_5deg,val_loge_5p5_6_mean_deg,val_loge_5p5_6_median_deg,val_loge_5p5_6_q68_deg,val_loge_5p5_6_q84_deg,val_loge_5p5_6_q90_deg,val_loss,val_macro_fraction_below_10deg,val_macro_fraction_below_1deg,val_macro_fraction_below_2deg,val_macro_fraction_below_5deg,val_macro_mean_deg,val_macro_median_deg,val_macro_number_of_bins,val_macro_q68_deg,val_macro_q84_deg,val_macro_q90_deg,val_objective_loss_unweighted,val_objective_loss_weighted,val_vmf_loss_unweighted,val_vmf_loss_weighted
stage_b,0,18.946157012666664,17.63640258981668,0.00019660652631578947,0.00019664842693600804,,3.3050689697265625,0.9991906881332397,0.6459178328514099,20525.0,0.48302069306373596,0.012667478993535042,0.04881851375102997,0.2226552963256836,19.40587043762207,10.465658187866211,17.413516998291016,33.257389068603516,47.47045135498047,0.3288704454898834,0.2985658347606659,44.710147857666016,15.238187789916992,28.315826416015625,88.11194610595703,6496.0,0.2943349778652191,0.0029248767532408237,0.016317734494805336,0.10144704580307007,27.236513137817383,16.754016876220703,27.07308578491211,48.24998092651367,65.82707214355469,4594.0,0.47692641615867615,0.010448411107063293,0.041793644428253174,0.20483238995075226,18.93048095703125,10.5783109664917,16.75290870666504,31.744873046875,45.908565521240234,3538.0,0.597230076789856,0.018937252461910248,0.06924816220998764,0.29169023036956787,14.892973899841309,8.065034866333008,12.524683952331543,23.354991912841797,35.10029602050781,2403.0,0.6292135119438171,0.020391177386045456,0.07948397845029831,0.3362463712692261,13.81590747833252,7.246994495391846,11.52851676940918,21.78546142578125,31.107826232910156,1589.0,0.6393958330154419,0.02328508533537388,0.07740717381238937,0.32347387075424194,14.144441604614258,7.269669055938721,11.33785343170166,21.328168869018555,33.111900329589844,972.0,0.6471193432807922,0.022633744403719902,0.08950617164373398,0.34567901492118835,13.09199047088623,7.067635536193848,10.895589828491211,19.97257423400879,28.840919494628906,589.0,0.587436318397522,0.016977928578853607,0.057724956423044205,0.31409168243408203,13.995851516723633,7.575470447540283,12.791470527648926,22.598237991333008,31.528444290161133,344.0,0.5668604373931885,0.023255813866853714,0.06976744532585144,0.2761628031730652,14.752891540527344,8.531009674072266,13.166888236999512,24.006765365600586,34.435096740722656,0.32887041568756104,0.5548146367073059,0.017356786876916885,0.06265615671873093,0.2742029130458832,16.35763168334961,9.136017799377441,8.0,14.508874893188477,26.630130767822266,38.232513427734375,0.3288704454898834,0.2985658347606659,-0.19651708006858826,-0.2584689259529114
stage_b,1,36.542829471000005,17.58775464591666,0.00018986147368421055,0.00018990336684510112,0.32253775000572205,3.3050689697265625,0.9991906881332397,0.6459178328514099,20525.0,0.5267722010612488,0.019342266023159027,0.06694275140762329,0.27186357975006104,17.4816837310791,9.31922721862793,15.467535972595215,29.731639862060547,42.30734634399414,0.28376156091690063,0.2558079659938812,56.890533447265625,19.477724075317383,36.11623001098633,110.47571563720703,6496.0,0.3352832496166229,0.006465517450124025,0.025092365220189095,0.12961822748184204,24.88458824157715,15.107250213623047,24.56365394592285,43.59859085083008,59.828025817871094,4594.0,0.5306922197341919,0.01784936897456646,0.06312581896781921,0.26469308137893677,16.773733139038086,9.268594741821289,14.8707914352417,28.07761573791504,40.66954040527344,3538.0,0.6379310488700867,0.029960429295897484,0.09129451960325241,0.35302430391311646,13.48954963684082,7.127063751220703,11.322301864624023,21.176321029663086,31.843807220458984,2403.0,0.6779026389122009,0.03454015776515007,0.10986267030239105,0.401581346988678,12.360028266906738,6.249781131744385,10.077024459838867,18.809877395629883,28.066282272338867,1589.0,0.6601636409759521,0.020767778158187866,0.07929515093564987,0.37822529673576355,12.383139610290527,6.7030792236328125,10.56511116027832,18.154254913330078,27.128326416015625,972.0,0.6923868060112,0.02572016417980194,0.11728394776582718,0.395061731338501,11.144859313964844,6.3686957359313965,9.521677017211914,17.011791229248047,24.268342971801758,589.0,0.6349745392799377,0.02546689286828041,0.10016977787017822,0.37181663513183594,12.503212928771973,6.8309125900268555,11.329318046569824,19.258277893066406,27.036378860473633,344.0,0.6220930218696594,0.031976744532585144,0.10174418240785599,0.302325576543808,13.957991600036621,7.479081153869629,11.788607597351074,22.89488983154297,35.95527648925781,0.283761590719223,0.5989283919334412,0.0240933820605278,0.08598355203866959,0.3245432674884796,14.687137603759766,8.141807556152344,8.0,13.004810333251953,23.62270164489746,34.3494987487793,0.28376156091690063,0.2558079659938812,-0.4270271062850952,-0.48243337869644165
stage_b,2,54.074051262299996,17.522222898583337,0.0001831164210526316,0.00018315832130610943,0.2712242901325226,3.3050689697265625,0.9991906881332397,0.6459178328514099,20525.0,0.537442147731781,0.018172960728406906,0.06133982911705971,0.27113276720046997,16.901968002319336,9.097075462341309,15.217650413513184,28.175331115722656,40.64661407470703,0.2698707580566406,0.24408939480781555,65.27670288085938,22.977468490600586,42.97121047973633,129.40000915527344,6496.0,0.3459051847457886,0.007235221564769745,0.024168718606233597,0.13115763664245605,24.192445755004883,15.079524993896484,24.0543212890625,42.683738708496094,57.828041076660156,4594.0,0.5472355484962463,0.017414018511772156,0.059643011540174484,0.26686984300613403,16.077043533325195,8.972291946411133,14.185210227966309,26.321931838989258,37.88227462768555,3538.0,0.6382136940956116,0.026003392413258553,0.08762012422084808,0.35387223958969116,13.0289888381958,7.155586242675781,11.208135604858398,19.94105339050293,29.555391311645508,2403.0,0.6824802160263062,0.029130253940820694,0.09113608300685883,0.38784852623939514,12.011554718017578,6.337347984313965,9.980721473693848,18.006834030151367,27.047082901000977,1589.0,0.6777847409248352,0.03020767867565155,0.09502831846475601,0.3700440526008606,11.777752876281738,6.536665439605713,10.092382431030273,17.739988327026367,24.213178634643555,972.0,0.7088477611541748,0.017489712685346603,0.08950617164373398,0.4125514328479767,10.851988792419434,6.039003849029541,9.17606258392334,16.539031982421875,22.288349151611328,589.0,0.657045841217041,0.011884549632668495,0.06281833350658417,0.3599320948123932,11.975434303283691,6.805027008056641,10.839181900024414,19.921003341674805,25.928314208984375,344.0,0.6366279125213623,0.03488372266292572,0.06976744532585144,0.29651162028312683,13.441825866699219,7.331315994262695,11.185449600219727,20.839162826538086,28.829015731811523,0.2698707580566406,0.611767590045929,0.021781068295240402,0.07246102392673492,0.322348415851593,14.169629096984863,8.032095909118652,8.0,12.59018325805664,22.749094009399414,31.696456909179688,0.2698707580566406,0.24408939480781555,-0.502484917640686,-0.5229628682136536
stage_b,3,71.58956287218334,17.506284010300018,0.00017637136842105265,0.0001764132612152025,0.2405618280172348,3.3050689697265625,0.9991906881332397,0.6459178328514099,20525.0,0.5380755066871643,0.014518879354000092,0.052862364798784256,0.2565164566040039,16.910446166992188,9.090320587158203,14.930282592773438,28.103002548217773,40.5193977355957,0.2677342891693115,0.24284793436527252,76.19859313964844,27.590776443481445,50.852134704589844,151.0982666015625,6496.0,0.3495997488498688,0.006465517450124025,0.022013546898961067,0.12469211965799332,24.0770206451416,14.606067657470703,23.708202362060547,42.790245056152344,57.57493591308594,4594.0,0.5444057583808899,0.015237266197800636,0.0557248592376709,0.25250327587127686,16.207624435424805,8.91856575012207,13.946700096130371,26.44586753845215,38.64830780029297,3538.0,0.6512153744697571,0.01808931678533554,0.06755229085683823,0.34200114011764526,12.962984085083008,6.943727016448975,10.87186336517334,19.77004623413086,28.870450973510742,2403.0,0.6683312654495239,0.01789429970085621,0.07116104662418365,0.3620474338531494,12.354289054870605,6.528834819793701,10.22856330871582,18.782625198364258,26.638654708862305,1589.0,0.685336709022522,0.022655759006738663,0.07740717381238937,0.3536815643310547,11.718743324279785,6.813418388366699,9.848350524902344,17.62270164489746,24.04849624633789,972.0,0.6831275820732117,0.02469135820865631,0.08539094775915146,0.3683127462863922,10.918516159057617,6.414831161499023,9.948384284973145,17.04713249206543,22.75630760192871,589.0,0.6587436199188232,0.02546689286828041,0.07640068233013153,0.3259762227535248,12.012720108032227,7.101243019104004,10.464144706726074,18.391345977783203,25.643312454223633,344.0,0.6424418687820435,0.011627906933426857,0.07267441600561142,0.2994185984134674,12.688883781433105,7.486999988555908,10.994996070861816,18.42264747619629,28.536170959472656,0.26773422956466675,0.6104002594947815,0.017766039818525314,0.06604062020778656,0.3035791516304016,14.117597579956055,8.10171127319336,8.0,12.501399993896484,22.409076690673828,31.58957862854004,0.2677342891693115,0.24284793436527252,-0.5481736660003662,-0.5474968552589417
stage_b,4,89.13584816539999,17.538830349266632,0.0001696263157894737,0.00016966821567621082,0.2223762571811676,3.3050689697265625,0.9991906881332397,0.6459178328514099,20525.0,0.5606821179389954,0.016662606969475746,0.06543239951133728,0.2855542004108429,16.07497787475586,8.581732749938965,14.06575870513916,26.749713897705078,38.24049758911133,0.24692390859127045,0.2216159999370575,80.19520568847656,30.222841262817383,55.732208251953125,161.9327392578125,6496.0,0.37068966031074524,0.006003694608807564,0.026323892176151276,0.1447044312953949,22.89200210571289,13.760224342346191,21.918691635131836,39.825828552246094,55.07915496826172,4594.0,0.5626904368400574,0.01349586434662342,0.06051371246576309,0.27579450607299805,15.695504188537598,8.654930114746094,13.740148544311523,25.344945907592773,36.70625686645508,3538.0,0.6724137663841248,0.01921989768743515,0.08196721225976944,0.36489543318748474,12.400507926940918,6.633053302764893,10.242231369018555,18.77569580078125,28.309877395629883,2403.0,0.7062005996704102,0.029130253940820694,0.10570120811462402,0.41198500990867615,10.976832389831543,6.006871700286865,9.190842628479004,16.91383934020996,24.899803161621094,1589.0,0.6985525488853455,0.036500945687294006,0.11453744769096375,0.39836373925209045,11.233789443969727,6.08778190612793,9.420007705688477,15.970524787902832,24.04107666015625,972.0,0.7211934328079224,0.02572016417980194,0.09567901492118835,0.41872426867485046,10.409153938293457,5.923742294311523,9.005789756774902,14.85185718536377,21.327407836914062,589.0,0.6977928876876831,0.02207130752503872,0.0814940556883812,0.3752122223377228,11.038177490234375,6.484151363372803,9.520978927612305,16.751880645751953,22.99228286743164,344.0,0.6308139562606812,0.020348837599158287,0.07848837226629257,0.3255814015865326,12.81204891204834,7.570428848266602,11.509117126464844,20.81498146057129,27.369218826293945,0.24692389369010925,0.6325433850288391,0.02156137116253376,0.08058811724185944,0.33940762281417847,13.432251930236816,7.640148162841797,8.0,11.818475723266602,21.15619468688965,30.090635299682617,0.24692390859127045,0.2216159999370575,-0.6727479100227356,-0.7012160420417786
stage_b,5,106.65113550394999,17.499570288333295,0.00016288126315789476,0.0001629231555853039,0.20568819344043732,3.3050689697265625,0.9991906881332397,0.6459178328514099,20525.0,0.589622437953949,0.024165650829672813,0.084482342004776,0.33105969429016113,15.060523986816406,7.800632953643799,13.145235061645508,25.397754669189453,36.59196853637695,0.21952439844608307,0.19166739284992218,92.83895111083984,34.22296142578125,63.90190887451172,190.19384765625,6496.0,0.39162561297416687,0.008774630725383759,0.032943349331617355,0.16733373701572418,21.90582847595215,13.179018020629883,21.3350772857666,39.36266326904297,53.49152374267578,4594.0,0.6012189984321594,0.023073574528098106,0.07683935761451721,0.3265128433704376,14.450424194335938,7.767305374145508,12.5353422164917,24.053329467773438,34.55351638793945,3538.0,0.7040700912475586,0.03363482281565666,0.12153758853673935,0.43131712079048157,11.39023494720459,5.864076614379883,9.38010311126709,17.290422439575195,26.4254150390625,2403.0,0.7315855026245117,0.0387016236782074,0.12942156195640564,0.4569288492202759,10.374091148376465,5.5177130699157715,8.656014442443848,15.745678901672363,23.74072265625,1589.0,0.7369414567947388,0.039647575467824936,0.12397734075784683,0.44933921098709106,10.250548362731934,5.638798713684082,8.393047332763672,14.332538604736328,21.468669891357422,972.0,0.7520576119422913,0.040123455226421356,0.13374485075473785,0.48456791043281555,9.288321495056152,5.118649482727051,8.034131050109863,13.75961685180664,19.943403244018555,589.0,0.7045840620994568,0.02546689286828041,0.12563666701316833,0.4346349835395813,10.074628829956055,5.749815464019775,9.305710792541504,15.941404342651367,21.242813110351562,344.0,0.6686046719551086,0.011627906933426857,0.07267441600561142,0.4156976640224457,11.493703842163086,6.530332565307617,10.509509086608887,18.75609016418457,26.1541748046875,0.21952436864376068,0.6613360047340393,0.027631310746073723,0.10209689289331436,0.39579153060913086,12.403472900390625,6.920713424682617,8.0,11.018616676330566,19.90521812438965,28.37752914428711,0.21952439844608307,0.19166739284992218,-0.8666266202926636,-0.9473211765289307
stage_b,6,124.14861428581668,17.488125091516668,0.0001561362105263158,0.0001561781100463122,0.1871011108160019,3.3050689697265625,0.9991906881332397,0.6459178328514099,20525.0,0.5874786972999573,0.02367844060063362,0.08584652841091156,0.33096224069595337,15.16593074798584,7.811936855316162,13.253216743469238,25.49051856994629,37.417415618896484,0.22156697511672974,0.19331815838813782,91.61024475097656,35.32811737060547,66.1385269165039,188.37887573242188,6496.0,0.38793104887008667,0.009082511998713017,0.03155788034200668,0.16533251106739044,22.092683792114258,13.269222259521484,21.414878845214844,39.34814453125,53.745052337646484,4594.0,0.5970831513404846,0.021549846976995468,0.07771005481481552,0.31954723596572876,14.556676864624023,7.751000881195068,12.592353820800781,23.927701950073242,35.38652038574219,3538.0,0.7020915746688843,0.03335217759013176,0.11871113628149033,0.4219898283481598,11.466175079345703,6.028655529022217,9.430992126464844,17.5584659576416,26.240636825561523,2403.0,0.7286725044250488,0.036620888859033585,0.14190594851970673,0.48231378197669983,10.41724681854248,5.190870761871338,8.467254638671875,16.452465057373047,23.316410064697266,1589.0,0.7388294339179993,0.03272498399019241,0.11768408119678497,0.45311516523361206,10.257303237915039,5.590667724609375,8.562788009643555,15.100655555725098,21.28119659423828,972.0,0.7469135522842407,0.045267488807439804,0.1563785970211029,0.5041152238845825,9.313003540039062,4.923932075500488,8.12644100189209,14.362793922424316,19.369365692138672,589.0,0.7232597470283508,0.033955857157707214,0.11544991284608841,0.4363327622413635,10.224939346313477,5.908191204071045,8.721263885498047,15.104011535644531,22.231338500976562,344.0,0.680232584476471,0.01744186133146286,0.09302325546741486,0.38372093439102173,11.394564628601074,6.379841327667236,10.000762939453125,17.502321243286133,24.45990562438965,0.22156697511672974,0.6631267070770264,0.028749452903866768,0.1065526083111763,0.3958084285259247,12.465324401855469,6.880297660827637,8.0,10.914591789245605,19.919570922851562,28.253803253173828,0.22156697511672974,0.19331815838813782,-0.8625690937042236,-0.9430595636367798
stage_b,7,141.64127595260004,17.487211238066628,0.00014939115789473686,0.0001494330499554053,0.18006858229637146,3.3050689697265625,0.9991906881332397,0.6459178328514099,20525.0,0.5917174220085144,0.019926918670535088,0.07444579899311066,0.3219001293182373,15.087495803833008,7.8092942237854,12.993306159973145,24.708345413208008,36.5604248046875,0.21871282160282135,0.1914539784193039,102.96681213378906,39.26021957397461,75.15296936035156,216.13772583007812,6496.0,0.3951662480831146,0.008004926145076752,0.03556034341454506,0.1641009896993637,22.097492218017578,13.016106605529785,21.04953956604004,39.6690673828125,53.661399841308594,4594.0,0.5977361798286438,0.01719634234905243,0.06835002452135086,0.3051806688308716,14.511228561401367,7.806198596954346,12.673527717590332,23.334888458251953,33.83850860595703,3538.0,0.7037874460220337,0.028547201305627823,0.10146975517272949,0.4137931168079376,11.374595642089844,6.051845550537109,9.37895393371582,17.43282699584961,25.170494079589844,2403.0,0.7278401851654053,0.031210986897349358,0.10694964975118637,0.4615064561367035,10.190908432006836,5.436924934387207,8.401643753051758,15.370060920715332,22.795021057128906,1589.0,0.7495279908180237,0.035242289304733276,0.11202013492584229,0.44745123386383057,10.074237823486328,5.507686138153076,8.259620666503906,14.048351287841797,20.30428123474121,972.0,0.7602880597114563,0.02674897201359272,0.11316872388124466,0.4969135820865631,9.343682289123535,5.005210876464844,8.015390396118164,13.298638343811035,19.07914924621582,589.0,0.7368420958518982,0.02207130752503872,0.09168081730604172,0.42954158782958984,9.595444679260254,5.7164998054504395,8.368380546569824,14.281647682189941,20.700944900512695,344.0,0.6656976938247681,0.020348837599158287,0.07267441600561142,0.34593021869659424,11.590558052062988,6.864751815795898,10.218829154968262,17.792333602905273,27.9542293548584,0.21871282160282135,0.6671107411384583,0.023671358823776245,0.08773422986268997,0.3830522298812866,12.347268104553223,6.925652980804443,8.0,10.795735359191895,19.40347671508789,27.938003540039062,0.21871282160282135,0.1914539784193039,-0.8922733068466187,-0.944182276725769
stage_b,8,159.17712552176667,17.52619597618335,0.0001426461052631579,0.0001426880044164136,0.17065131664276123,3.3050689697265625,0.9991906881332397,0.6459178328514099,20525.0,0.5941534638404846,0.02099878154695034,0.0783434808254242,0.3265773355960846,14.820865631103516,7.786956310272217,12.977243423461914,24.892244338989258,35.96354675292969,0.21173132956027985,0.18471713364124298,110.80643463134766,43.84037399291992,82.54954528808594,234.95492553710938,6496.0,0.39793717861175537,0.008004926145076752,0.031711824238300323,0.16056033968925476,21.582609176635742,12.881641387939453,21.279367446899414,38.6120491027832,52.8140869140625,4594.0,0.6018720269203186,0.02002612128853798,0.0694383978843689,0.3134523332118988,14.214856147766113,7.78224515914917,12.585591316223145,23.40422248840332,33.15081024169922,3538.0,0.7009609937667847,0.02967778407037258,0.11192764341831207,0.4265121519565582,11.40324878692627,5.969264984130859,9.34314250946045,17.015031814575195,25.8132381439209,2403.0,0.737827718257904,0.03329171985387802,0.11319184303283691,0.4789845943450928,9.932550430297852,5.175997257232666,8.398836135864258,15.444913864135742,21.80221176147461,1589.0,0.7413467764854431,0.03209565579891205,0.1189427301287651,0.449968546628952,10.000419616699219,5.611235618591309,8.593122482299805,14.21064281463623,20.41267967224121,972.0,0.7520576119422913,0.02469135820865631,0.13991770148277283,0.4711934030056,9.339832305908203,5.311015605926514,7.998346328735352,14.276046752929688,19.666820526123047,589.0,0.7521222233772278,0.032258063554763794,0.11035653948783875,0.43803057074546814,9.710514068603516,5.575099945068359,8.518060684204102,14.979796409606934,20.841629028320312,344.0,0.6976743936538696,0.023255813866853714,0.07267441600561142,0.375,11.027600288391113,6.456714630126953,9.631037712097168,18.030677795410156,25.1026554107666,0.21173131465911865,0.6727248430252075,0.025412680581212044,0.09602013975381851,0.3892127573490143,12.151453971862793,6.845401763916016,8.0,10.793437957763672,19.496671676635742,27.450515747070312,0.21173132956027985,0.18471713364124298,-0.9388311505317688,-1.0036015510559082
stage_b,9,176.73815733153333,17.550800918783292,0.00013590105263157898,0.0001359429443255067,0.16228845715522766,3.3050689697265625,0.9991906881332397,0.6459178328514099,20525.0,0.6056516170501709,0.023580998182296753,0.0888185128569603,0.3450913429260254,14.579374313354492,7.494379997253418,12.545058250427246,24.232227325439453,35.50493240356445,0.20333713293075562,0.172710120677948,113.81922912597656,45.248775482177734,86.73980712890625,244.10301208496094,6496.0,0.408559113740921,0.009082511998713017,0.03586822748184204,0.17472290992736816,21.643661499023438,12.744354248046875,20.999897003173828,38.85498809814453,52.71311950683594,4594.0,0.6142795085906982,0.020896822214126587,0.08293426036834717,0.33957335352897644,13.916166305541992,7.488894462585449,12.044330596923828,22.825777053833008,33.34941864013672,3538.0,0.7142453193664551,0.03306953236460686,0.11786320060491562,0.4352741539478302,10.981186866760254,5.7786359786987305,8.946120262145996,16.655534744262695,24.220321655273438,2403.0,0.7440699338912964,0.038285475224256516,0.1327507346868515,0.4856429398059845,9.730024337768555,5.185891628265381,8.224194526672363,14.962983131408691,21.403047561645508,1589.0,0.7558212876319885,0.03461296483874321,0.11957205832004547,0.47199496626853943,9.468317031860352,5.37198543548584,8.13701057434082,13.391448020935059,19.73911476135254,972.0,0.7736625671386719,0.040123455226421356,0.1594650149345398,0.5185185074806213,8.805837631225586,4.835597991943359,7.327547550201416,13.039520263671875,18.027393341064453,589.0,0.7487266659736633,0.028862478211522102,0.1561969369649887,0.4821731746196747,9.03575325012207,5.244272232055664,7.900174140930176,14.190868377685547,18.901599884033203,344.0,0.7151162624359131,0.02616279013454914,0.10465116053819656,0.4156976640224457,10.332544326782227,6.186146259307861,9.29118537902832,16.903749465942383,22.774938583374023,0.20333713293075562,0.6843100786209106,0.028887003660202026,0.11366269737482071,0.41544970870018005,11.73918628692627,6.6044721603393555,8.0,10.358807563781738,18.85310935974121,26.3911190032959,0.20333713293075562,0.172710120677948,-1.0224190950393677,-1.1310615539550781
