stage,epoch,cpu_load_1min,gpu_memory_total_gb,gpu_memory_used_gb,gpu_util_pct,max_parent_rss_gb
stage_b,0,48.90234375,nan,nan,nan,2.5620346069335938
stage_b,1,50.16455078125,nan,nan,nan,2.579845428466797
stage_b,2,54.01416015625,nan,nan,nan,2.580432891845703
stage_b,3,49.28466796875,nan,nan,nan,2.5813064575195312
stage_b,4,47.6181640625,nan,nan,nan,2.5813064575195312
stage_b,5,45.0205078125,nan,nan,nan,2.5813064575195312
stage_b,6,43.7958984375,nan,nan,nan,2.612506866455078
stage_b,7,42.59521484375,nan,nan,nan,2.612506866455078
stage_b,8,52.017578125,nan,nan,nan,2.612506866455078
stage_b,9,50.68310546875,nan,nan,nan,2.612506866455078
stage_b,10,51.20263671875,nan,nan,nan,2.612506866455078
stage_b,11,49.86083984375,nan,nan,nan,2.612506866455078
stage_b,12,52.5908203125,nan,nan,nan,2.614330291748047
stage_b,13,52.421875,nan,nan,nan,2.614330291748047
stage_b,14,48.71728515625,nan,nan,nan,2.614330291748047
stage_b,15,44.490234375,nan,nan,nan,2.614330291748047
stage_b,16,50.2978515625,nan,nan,nan,2.614330291748047
stage_b,17,48.64794921875,nan,nan,nan,2.614330291748047
stage_b,18,46.63232421875,nan,nan,nan,2.614330291748047
stage_b,19,43.083984375,nan,nan,nan,2.614330291748047
stage_b,20,43.0556640625,nan,nan,nan,2.614330291748047
stage_b,21,50.1298828125,nan,nan,nan,2.614330291748047
stage_b,22,52.60400390625,nan,nan,nan,2.614330291748047
stage_b,23,54.576171875,nan,nan,nan,2.614330291748047
stage_b,24,53.7177734375,nan,nan,nan,2.614330291748047
stage_b,25,50.9736328125,nan,nan,nan,2.614330291748047
stage_b,26,53.259765625,nan,nan,nan,2.614330291748047
stage_b,27,44.9228515625,nan,nan,nan,2.615234375
stage_b,28,54.56884765625,nan,nan,nan,2.6155014038085938
stage_b,29,53.47705078125,nan,nan,nan,2.6155014038085938
