RunID,SubrunID,EventID,SubEventID
627,4294967295,10,0
6430,4294967295,43,0
791,4294967295,48,0
1569,4294967295,31,0
8891,4294967295,7,0
4385,4294967295,48,0
7373,4294967295,86,0
4135,4294967295,14,0
701,4294967295,66,0
3012,4294967295,32,0
9199,4294967295,23,0
635,4294967295,131,0
5332,4294967295,82,0
1004,4294967295,124,0
9509,4294967295,191,0
8560,4294967295,123,0
2786,4294967295,114,0
374,4294967295,75,0
8082,4294967295,179,0
9062,4294967295,180,0
7293,4294967295,49,0
9038,4294967295,155,0
7126,4294967295,175,0
1969,4294967295,186,0
2354,4294967295,31,0
1132,4294967295,200,0
6345,4294967295,35,0
7041,4294967295,155,0
9208,4294967295,46,0
3609,4294967295,87,0
1003,4294967295,178,0
1745,4294967295,47,0
8579,4294967295,138,0
3058,4294967295,35,0
309,4294967295,194,0
1976,4294967295,191,0
5327,4294967295,52,0
1816,4294967295,63,0
2110,4294967295,109,0
6355,4294967295,125,0
8985,4294967295,87,0
3875,4294967295,84,0
7472,4294967295,184,0
1151,4294967295,186,0
7974,4294967295,72,0
4497,4294967295,26,0
1182,4294967295,80,0
8393,4294967295,191,0
1667,4294967295,110,0
1716,4294967295,92,0
8153,4294967295,3,0
9975,4294967295,94,0
367,4294967295,50,0
5498,4294967295,54,0
7924,4294967295,184,0
4415,4294967295,197,0
4339,4294967295,130,0
1185,4294967295,66,0
9689,4294967295,143,0
8286,4294967295,50,0
4751,4294967295,180,0
2987,4294967295,144,0
7917,4294967295,128,0
2224,4294967295,29,0
8753,4294967295,152,0
7113,4294967295,119,0
1691,4294967295,32,0
3088,4294967295,72,0
5982,4294967295,166,0
2699,4294967295,139,0
7938,4294967295,149,0
4080,4294967295,26,0
2960,4294967295,124,0
1701,4294967295,30,0
9340,4294967295,52,0
8440,4294967295,155,0
4956,4294967295,79,0
7831,4294967295,112,0
4163,4294967295,143,0
2119,4294967295,84,0
5096,4294967295,48,0
3776,4294967295,86,0
6229,4294967295,136,0
6210,4294967295,186,0
7486,4294967295,12,0
7431,4294967295,180,0
5967,4294967295,171,0
103,4294967295,115,0
4214,4294967295,135,0
7543,4294967295,176,0
5324,4294967295,32,0
9892,4294967295,142,0
8171,4294967295,113,0
3360,4294967295,65,0
7226,4294967295,91,0
8333,4294967295,156,0
1168,4294967295,106,0
1254,4294967295,70,0
1961,4294967295,96,0
6005,4294967295,165,0
8582,4294967295,199,0
9293,4294967295,77,0
8827,4294967295,37,0
1903,4294967295,93,0
4753,4294967295,91,0
8192,4294967295,84,0
7282,4294967295,84,0
7673,4294967295,94,0
2825,4294967295,44,0
7197,4294967295,85,0
5277,4294967295,45,0
8292,4294967295,63,0
2497,4294967295,97,0
487,4294967295,112,0
760,4294967295,186,0
1115,4294967295,155,0
6070,4294967295,109,0
4319,4294967295,37,0
9192,4294967295,106,0
5610,4294967295,131,0
7406,4294967295,115,0
8630,4294967295,186,0
8185,4294967295,128,0
5428,4294967295,72,0
8772,4294967295,153,0
3208,4294967295,155,0
3850,4294967295,134,0
8798,4294967295,162,0
6978,4294967295,170,0
4099,4294967295,48,0
9140,4294967295,200,0
3012,4294967295,163,0
6913,4294967295,137,0
8134,4294967295,169,0
9162,4294967295,185,0
892,4294967295,99,0
1464,4294967295,138,0
1578,4294967295,54,0
6413,4294967295,55,0
4767,4294967295,186,0
6173,4294967295,152,0
2993,4294967295,9,0
1912,4294967295,143,0
4038,4294967295,194,0
7442,4294967295,80,0
3817,4294967295,122,0
6099,4294967295,139,0
3079,4294967295,180,0
7557,4294967295,5,0
7005,4294967295,132,0
9774,4294967295,72,0
1891,4294967295,103,0
9860,4294967295,98,0
5815,4294967295,29,0
7495,4294967295,190,0
6988,4294967295,75,0
9667,4294967295,178,0
1591,4294967295,142,0
6689,4294967295,187,0
1834,4294967295,199,0
1508,4294967295,117,0
2584,4294967295,23,0
7313,4294967295,113,0
6102,4294967295,13,0
8538,4294967295,22,0
1940,4294967295,124,0
2579,4294967295,141,0
60,4294967295,193,0
