RunID,SubrunID,EventID,SubEventID
4814,4294967295,119,0
7473,4294967295,151,0
3129,4294967295,38,0
3813,4294967295,192,0
6039,4294967295,120,0
7753,4294967295,142,0
2441,4294967295,105,0
9604,4294967295,184,0
6437,4294967295,102,0
5199,4294967295,57,0
7871,4294967295,83,0
6321,4294967295,46,0
9088,4294967295,160,0
8006,4294967295,69,0
8628,4294967295,163,0
2251,4294967295,23,0
9289,4294967295,159,0
7677,4294967295,119,0
697,4294967295,98,0
4436,4294967295,73,0
3304,4294967295,17,0
290,4294967295,7,0
5038,4294967295,39,0
9179,4294967295,153,0
1203,4294967295,55,0
9859,4294967295,164,0
376,4294967295,89,0
9046,4294967295,8,0
6341,4294967295,83,0
1516,4294967295,30,0
2505,4294967295,80,0
9103,4294967295,62,0
6545,4294967295,113,0
7070,4294967295,160,0
5821,4294967295,142,0
2479,4294967295,99,0
3315,4294967295,183,0
2523,4294967295,19,0
6663,4294967295,25,0
3859,4294967295,183,0
2248,4294967295,107,0
64,4294967295,33,0
8897,4294967295,96,0
6884,4294967295,157,0
5828,4294967295,72,0
5526,4294967295,102,0
6328,4294967295,35,0
5712,4294967295,185,0
1512,4294967295,158,0
2983,4294967295,184,0
2816,4294967295,56,0
6554,4294967295,197,0
221,4294967295,159,0
2212,4294967295,23,0
6479,4294967295,18,0
6801,4294967295,42,0
5019,4294967295,183,0
6989,4294967295,189,0
5894,4294967295,139,0
1750,4294967295,125,0
3372,4294967295,79,0
9430,4294967295,130,0
1593,4294967295,22,0
3283,4294967295,171,0
9731,4294967295,179,0
4289,4294967295,169,0
2319,4294967295,184,0
625,4294967295,113,0
3126,4294967295,145,0
7488,4294967295,137,0
3583,4294967295,64,0
8176,4294967295,104,0
4594,4294967295,112,0
7291,4294967295,188,0
236,4294967295,97,0
2076,4294967295,18,0
9084,4294967295,3,0
9910,4294967295,4,0
5090,4294967295,43,0
3190,4294967295,165,0
9318,4294967295,69,0
9813,4294967295,159,0
3574,4294967295,71,0
8642,4294967295,195,0
5724,4294967295,97,0
5639,4294967295,84,0
6510,4294967295,99,0
9916,4294967295,184,0
3182,4294967295,10,0
1971,4294967295,12,0
2244,4294967295,121,0
9009,4294967295,9,0
6148,4294967295,92,0
8549,4294967295,122,0
3035,4294967295,1,0
8112,4294967295,22,0
1618,4294967295,66,0
7921,4294967295,53,0
5268,4294967295,105,0
6289,4294967295,89,0
62,4294967295,3,0
1184,4294967295,6,0
9463,4294967295,127,0
9711,4294967295,61,0
177,4294967295,130,0
8041,4294967295,195,0
7237,4294967295,134,0
3782,4294967295,189,0
4432,4294967295,61,0
5749,4294967295,44,0
860,4294967295,196,0
2536,4294967295,84,0
1613,4294967295,39,0
2897,4294967295,88,0
8253,4294967295,82,0
4405,4294967295,181,0
3048,4294967295,55,0
4959,4294967295,140,0
6208,4294967295,170,0
5568,4294967295,82,0
9104,4294967295,157,0
4887,4294967295,142,0
7531,4294967295,125,0
9346,4294967295,184,0
1521,4294967295,124,0
1961,4294967295,86,0
5035,4294967295,112,0
3557,4294967295,53,0
3530,4294967295,181,0
384,4294967295,36,0
5529,4294967295,161,0
78,4294967295,91,0
3661,4294967295,91,0
4233,4294967295,3,0
3853,4294967295,31,0
8211,4294967295,133,0
8818,4294967295,154,0
3182,4294967295,162,0
323,4294967295,96,0
3498,4294967295,94,0
5301,4294967295,8,0
638,4294967295,144,0
8477,4294967295,155,0
6223,4294967295,138,0
427,4294967295,106,0
7538,4294967295,135,0
2716,4294967295,37,0
4529,4294967295,67,0
7961,4294967295,171,0
6937,4294967295,111,0
6240,4294967295,128,0
7063,4294967295,52,0
6805,4294967295,28,0
8563,4294967295,1,0
783,4294967295,26,0
9923,4294967295,15,0
7098,4294967295,155,0
1913,4294967295,21,0
4934,4294967295,86,0
9328,4294967295,165,0
3802,4294967295,60,0
660,4294967295,1,0
6142,4294967295,183,0
9855,4294967295,105,0
2830,4294967295,69,0
7667,4294967295,47,0
4841,4294967295,113,0
119,4294967295,33,0
6572,4294967295,161,0
5131,4294967295,15,0
4228,4294967295,154,0
248,4294967295,47,0
6622,4294967295,9,0
6673,4294967295,50,0
7808,4294967295,148,0
107,4294967295,57,0
