logE_center,E_center_GeV,n,q16,q50,q84,sigma68_log10,bias_log10,frac68_approx
2.1245000000000003,133.1987042313163,3160,0.19692290323635134,0.38488398367495424,0.6557774602217471,0.2294272784926979,0.38488398367495424,0.6960055866565522
2.375,237.13737056616552,2846,0.027202070305260045,0.269558958217563,0.5743773879455696,0.2735876588201548,0.269558958217563,0.8775333450158
2.625,421.6965034285822,2393,-0.12176429556216627,0.17586289756767007,0.5339856889645412,0.32787499226335376,0.17586289756767007,1.1275265685683156
2.875,749.8942093324558,2118,-0.26378942010560885,0.06531135777169222,0.43616363586645573,0.3499765279860323,0.06531135777169222,1.2386001472224768
3.125,1333.5214321633239,1909,-0.4230053714936999,-0.02971765401983605,0.36939281919928313,0.3961990953464915,-0.02971765401983605,1.4899985566120129
3.375,2371.373705661655,1619,-0.5840502194539445,-0.14981780848078213,0.24127729481583418,0.41266375713488934,-0.14981780848078213,1.586209824263403
3.625,4216.965034285822,1339,-0.7704237862909937,-0.26979173998029776,0.19489554542917198,0.48265966586008285,-0.26979173998029776,2.0385029747100964
3.875,7498.942093324558,1099,-0.9061560026102675,-0.37476664010784644,0.175377300431471,0.5407666515208692,-0.37476664010784644,2.4734947877721427
4.125,13335.21432163324,858,-1.0905952882626782,-0.4584119472370944,0.11898338707102848,0.6047893376668533,-0.4584119472370944,3.025217365701807
4.375,23713.737056616555,710,-1.1585308488446844,-0.41811665331000847,0.17617054971958937,0.6673506992821369,-0.41811665331000847,3.6489052973838767
4.625,42169.65034285822,559,-1.3735698191898849,-0.5257003144137823,0.09788092806257156,0.7357253736262283,-0.5257003144137823,4.44158445107702
4.875,74989.42093324558,406,-1.438052569462824,-0.43873068698129014,0.19210549125080933,0.8150790303568166,-0.43873068698129014,5.532494163207434
5.125,133352.1432163324,346,-1.5775916217336168,-0.5524279455124284,0.09652209134372863,0.8370568565386727,-0.5524279455124284,5.871583948540078
5.375,237137.3705661655,262,-1.8316330044849203,-0.5142140640329931,0.06269697094443528,0.9471649877146778,-0.5142140640329931,7.854519275833512
5.625,421696.5034285822,197,-2.0917918777530464,-0.6435255566242236,-0.04100755584514835,1.0253921609539491,-0.6435255566242236,9.602106462848914
5.875,749894.2093324559,152,-2.0114728161846207,-0.5228194851286301,-0.026555562777065583,0.9924586267037776,-0.5228194851286301,8.82785242978156
6.125,1333521.432163324,112,-2.261103514228819,-0.7999000558882536,-0.16338948502137682,1.048857014603721,-0.7999000558882536,10.19069384833992
6.375,2371373.7056616554,83,-2.6207332878465257,-1.0099325676263948,-0.3313359588141076,1.1446986645162092,-1.0099325676263948,12.953998260887559
6.625,4216965.034285823,54,-2.3158697468987524,-0.9645027796409119,-0.3242199564838424,0.995824895207455,-0.9645027796409119,8.904325282362125
6.875,7498942.093324558,50,-2.5195618471132395,-0.9181582287640104,-0.4576573980391221,1.0309522245370588,-0.9181582287640104,9.738712724123259
