trial,state,objective,nb_neighbours,peak_lr
0,COMPLETE,0.04599566612006587,8,0.0007804198021524521
1,FAIL,,10,0.0014688125252684252
2,COMPLETE,0.04624803580210324,8,0.0007804198021524521
