feature,p25,p50,p75
charge,0.8599022030830383,1.1018537282943726,1.4567799568176270
dom_time,226.0678777569011686,538.3816430748823905,3703.2785546579111724
dom_x,-320.0000000000000000,0.0000000000000000,320.0000000000000000
dom_y,-315.0257738807146097,-37.8976446696942730,308.5125168440811194
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string_number,86.0000000000000000,169.0000000000000000,255.0000000000000000
pmt_number,5.0000000000000000,9.0000000000000000,13.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-319.8986391571229433,0.1013608428770663,319.8986391571229433
pmt_y,-315.0257738807146097,-37.7628408091343175,308.5125168440811194
pmt_z,-200.0000000000000000,50.0000000000000000,299.8855904308520621
