trial,state,objective,nb_neighbours,peak_lr
0,COMPLETE,-0.2864253680471696,8,0.0004911664396550936
1,COMPLETE,-0.3196879870428241,10,0.000989322782315046
2,RUNNING,,10,0.0011387736507865707
3,RUNNING,,8,0.00038879158794514584
