epoch,train_loss,val_loss,lr,best_model_is_updated,val_residual_log10_p16,val_residual_log10_p50,val_residual_log10_p84,val_W_log10,val_bias_log10,val_mae_log10,val_rmse_log10
0,,0.19768848175932566,0.0009832202922552824,True,-0.4653032720088959,0.26079583168029785,0.7139809727668762,0.5896421074867249,0.13101820647716522,0.5445375442504883,0.7022866010665894
1,0.5001597991992541,0.16709399708489522,0.0009496610146015882,True,-0.5708913207054138,0.11093378067016602,0.5434500575065613,0.5571706891059875,-0.013569891452789307,0.47999754548072815,0.6468009352684021
2,0.18462205752469737,0.1875588360886889,0.0009161016787402332,False,-0.33677682280540466,0.30680346488952637,0.751897931098938,0.5443373918533325,0.2022644728422165,0.5331873297691345,0.6718887090682983
3,0.1661445105515542,0.15881112891063917,0.000882542401086539,True,-0.6691960096359253,-0.01141357421875,0.38230010867118835,0.525748074054718,-0.13879095017910004,0.4511387050151825,0.63709956407547
4,0.1620674241875243,0.158389231227013,0.000848983065225184,True,-0.6948241591453552,-0.025954723358154297,0.35564398765563965,0.5252341032028198,-0.16281799972057343,0.4453638792037964,0.6396951675415039
5,0.1539282799981557,0.15531653524303532,0.0008154237293638289,True,-0.6844364404678345,-0.02637481689453125,0.371746689081192,0.528091549873352,-0.1496906280517578,0.4458378851413727,0.6283499598503113
6,0.15199293882393325,0.14583505507894085,0.0007818643935024738,True,-0.5545221567153931,0.05030465126037598,0.46329277753829956,0.5089074373245239,-0.048455238342285156,0.4354168474674225,0.6016417145729065
7,0.14661302868302387,0.14627397157150093,0.0007483050576411188,False,-0.5726727843284607,0.053755998611450195,0.45365050435066223,0.5131616592407227,-0.058321837335824966,0.4374828040599823,0.6033943295478821
8,0.14110785433933015,0.14221915034539911,0.0007147457799874246,True,-0.5286065936088562,0.08156013488769531,0.47305166721343994,0.5008291006088257,-0.025724798440933228,0.43389612436294556,0.5917572379112244
9,0.1403258828067503,0.14279813854326376,0.0006811864441260695,False,-0.5359207987785339,0.06453704833984375,0.45758628845214844,0.4967535436153412,-0.041876170784235,0.4314592182636261,0.5949373245239258
10,0.136216693282748,0.1476251351414753,0.0006476271082647145,False,-0.4152167737483978,0.18030667304992676,0.5788790583610535,0.49704790115356445,0.08225230872631073,0.4531961977481842,0.5966038107872009
11,0.13333103625207843,0.14626580844800424,0.0006140677724033594,False,-0.6299627423286438,-0.038669586181640625,0.3689641058444977,0.49946343898773193,-0.13116304576396942,0.4292146861553192,0.6050708889961243
12,0.1327934415708031,0.14433776007683083,0.0005805084947496653,False,-0.5082876682281494,0.087738037109375,0.4973205626010895,0.5028041005134583,-0.00639083469286561,0.43575790524482727,0.5953702330589294
13,0.12901181802088177,0.1438385250936462,0.0005469491588883102,False,-0.6079487800598145,-0.010102510452270508,0.37998783588409424,0.49396830797195435,-0.11288505792617798,0.4253471791744232,0.600479006767273
