epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,12.521,12.521,1.896,95.245,72.89,0.0,21.606,79.647,27.1
1,20.261,7.740,1.896,95.133,71.57,61.0,21.606,79.647,27.1
2,27.937,7.676,1.896,95.112,68.03,74.0,21.606,79.647,27.1
3,35.595,7.658,1.896,95.035,71.73,79.0,21.606,79.647,27.1
4,43.299,7.704,1.896,95.000,70.96,54.0,21.606,79.647,27.1
5,50.959,7.659,1.897,95.006,71.42,4.0,21.606,79.647,27.1
6,58.684,7.726,1.894,95.134,67.47,0.0,21.606,79.647,27.1
7,66.369,7.685,1.895,95.178,80.69,10.0,21.606,79.647,27.1
8,74.042,7.672,1.898,95.115,69.23,0.0,21.606,79.647,27.1
9,81.729,7.688,1.896,95.009,77.99,3.0,21.606,79.647,27.1
10,89.409,7.679,1.897,95.211,68.35,0.0,21.606,79.647,27.1
11,97.061,7.653,1.896,95.112,79.97,64.0,25.712,79.647,32.3
12,104.737,7.676,1.897,95.091,78.41,0.0,25.712,79.647,32.3
13,112.430,7.693,1.898,95.074,86.31,78.0,25.712,79.647,32.3
