trial,state,objective,nb_neighbours,peak_lr
0,RUNNING,,8,9.495770135458993e-05
1,RUNNING,,10,0.00023614869366970066
2,RUNNING,,10,0.0002835813718025996
3,RUNNING,,8,7.00584079468675e-05
