epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,16.953,16.953,2.174,146.212,89.06,0.0,17.501,79.647,22.0
1,28.293,11.340,2.174,146.046,103.68,25.0,17.501,79.647,22.0
2,39.552,11.260,2.173,145.778,109.94,89.0,17.501,79.647,22.0
3,50.274,10.722,2.174,62.399,78.03,37.0,17.501,79.647,22.0
4,60.591,10.317,2.173,58.316,86.29,0.0,17.501,79.647,22.0
5,70.894,10.304,2.174,60.616,79.22,11.0,17.501,79.647,22.0
6,81.118,10.223,2.174,59.408,83.73,58.0,17.501,79.647,22.0
7,91.447,10.329,2.175,58.105,86.91,84.0,17.501,79.647,22.0
8,101.738,10.291,2.175,59.855,89.30,77.0,22.917,79.647,28.8
9,112.117,10.379,2.173,55.787,88.00,0.0,22.917,79.647,28.8
10,122.490,10.372,2.174,55.083,87.65,70.0,22.917,79.647,28.8
11,132.770,10.281,2.174,54.091,81.99,87.0,26.224,79.647,32.9
12,143.064,10.293,2.174,54.840,74.86,23.0,26.224,79.647,32.9
13,153.425,10.361,2.174,54.314,88.24,89.0,26.224,79.647,32.9
14,163.742,10.317,2.175,56.164,115.96,27.0,26.224,79.647,32.9
15,174.256,10.514,2.175,55.947,109.31,31.0,26.224,79.647,32.9
16,184.779,10.523,2.174,50.215,113.56,0.0,26.224,79.647,32.9
17,195.372,10.594,2.175,55.850,107.40,38.0,26.224,79.647,32.9
18,205.928,10.556,2.175,55.569,117.64,89.0,26.224,79.647,32.9
19,216.542,10.614,2.174,55.949,116.66,49.0,26.224,79.647,32.9
20,227.183,10.640,2.175,55.356,117.86,63.0,26.224,79.647,32.9
21,237.838,10.656,2.176,56.204,108.05,71.0,26.224,79.647,32.9
22,248.467,10.629,2.176,55.916,117.19,0.0,26.224,79.647,32.9
