epoch,train_loss,val_loss,lr,best_model_is_updated,val_residual_p16_deg,val_residual_p50_deg,val_residual_p84_deg,val_W_deg,val_kappa_p16,val_kappa_p50,val_kappa_p84,val_kappa_W
0,,0.128220791211179,0.0009832202922552824,True,-10.498861312866211,1.7041664123535156,13.379328727722168,11.939094543457031,7.38089656829834,10.331770896911621,13.321168899536133,2.9701361656188965
1,0.9632177137723413,-0.1022476332048944,0.0009496610146015882,True,-5.735889911651611,4.582974910736084,13.28270435333252,9.509297370910645,11.995000839233398,20.414844512939453,28.857967376708984,8.431483268737793
2,0.15132227241906387,-0.10769022493327558,0.0009161016787402332,True,-10.128976821899414,1.6427834033966064,10.943632125854492,10.536304473876953,7.797043323516846,19.295480728149414,29.915252685546875,11.059104919433594
3,-0.13409365700108664,-0.5274479318700684,0.000882542401086539,True,-8.71872615814209,-0.9041326642036438,5.440608501434326,7.079667091369629,16.825788497924805,54.99829864501953,84.8643569946289,34.019283294677734
4,-0.25270093778020825,-0.6737851387605778,0.000848983065225184,True,-7.091123580932617,-1.5702946186065674,3.8932299613952637,5.4921770095825195,17.008766174316406,66.78817749023438,89.18205261230469,36.08664321899414
5,-0.5708527810916194,-0.7421026348625233,0.0008154237293638289,True,-3.652468681335449,1.801694631576538,6.201920986175537,4.927194595336914,25.48697280883789,89.53548431396484,104.45536804199219,39.48419952392578
6,-0.7217326229715553,-0.815967386212724,0.0007818643935024738,True,-4.060409069061279,0.6364165544509888,5.02412748336792,4.5422682762146,22.4813175201416,87.22615051269531,97.85382843017578,37.686256408691406
7,-0.7726441107862341,-0.8343985922593876,0.0007483050576411188,True,-5.033873081207275,-1.1552445888519287,3.675917148590088,4.354895114898682,22.462526321411133,92.94400787353516,102.02495574951172,39.78121566772461
8,-0.8124767717978107,-0.8607332646502994,0.0007147457799874246,True,-4.874382019042969,-0.17614375054836273,3.5271551609039307,4.20076847076416,27.939903259277344,95.27302551269531,102.04658508300781,37.053340911865234
9,-0.838134125202811,-0.876963405953982,0.0006811864441260695,True,-4.0426411628723145,-0.24694548547267914,3.993924140930176,4.018282890319824,23.512664794921875,92.95201110839844,99.42908477783203,37.95820999145508
10,-0.8591759262192128,-0.8699370801304374,0.0006476271082647145,False,-5.1940388679504395,-1.1317076683044434,2.8372609615325928,4.015649795532227,27.236278533935547,94.58087158203125,100.29293823242188,36.52832794189453
11,-0.8748639133644588,-0.896403171941786,0.0006140677724033594,True,-4.289146900177002,0.2947499752044678,3.520275592803955,3.9047112464904785,29.887842178344727,95.6877212524414,100.62437438964844,35.36826705932617
12,-0.8874131988193106,-0.89474911767216,0.0005805084947496653,False,-4.005528450012207,0.1666771024465561,3.932849407196045,3.969188928604126,24.550512313842773,95.86490631103516,100.66679382324219,38.05813980102539
13,-0.9009855616716932,-0.9014113530608446,0.0005469491588883102,True,-4.309915065765381,-0.4063689410686493,3.268371343612671,3.7891430854797363,34.807395935058594,99.37215423583984,103.75455474853516,34.47357940673828
14,-0.9091950612821831,-0.9127821663445644,0.0005133898230269551,True,-3.211097002029419,0.5107786059379578,4.265151500701904,3.738124370574951,31.292984008789062,96.7668228149414,101.08424377441406,34.8956298828125
15,-0.9225100128179513,-0.8973769616306729,0.0004798305162694305,False,-2.130002975463867,1.2022567987442017,5.470112323760986,3.8000576496124268,29.845199584960938,97.94751739501953,102.12808227539062,36.141441345214844
16,-0.9279085003405179,-0.9151956185007784,0.00044627118040807545,True,-4.208391189575195,-0.8916470408439636,3.0584957599639893,3.6334433555603027,34.41594696044922,96.89607238769531,100.66429901123047,33.124176025390625
17,-0.9368469189151694,-0.9213578914051807,0.00041271187365055084,True,-3.2278668880462646,0.6894187927246094,4.128769874572754,3.678318500518799,32.91179656982422,96.00619506835938,99.5421371459961,33.31517028808594
18,-0.9423433778513802,-0.8901197454692984,0.0003791525377891958,False,-5.300590991973877,-1.772215485572815,1.9727718830108643,3.63668155670166,36.368316650390625,97.4406509399414,101.24456787109375,32.43812561035156
19,-0.9567735540309066,-0.9353822841735946,0.00034559323103167117,True,-3.802851676940918,-0.10342955589294434,3.3181545734405518,3.5605030059814453,38.69936752319336,98.4629135131836,101.74483489990234,31.522733688354492
20,-0.9655885043018485,-0.9142603968200265,0.0003120338951703161,False,-2.3346736431121826,0.8821189403533936,5.051832675933838,3.6932530403137207,35.30781936645508,97.12360382080078,100.47856140136719,32.58537292480469
21,-0.9720444391610922,-0.9231900174950406,0.0002784745884127915,False,-4.435338497161865,-0.5847939848899841,2.719230890274048,3.577284812927246,40.291526794433594,98.65289306640625,101.90614318847656,30.807308197021484
22,-0.9814786264214113,-0.9429586883472967,0.0002449152525514364,True,-3.6744625568389893,-0.11760903149843216,3.1796185970306396,3.4270405769348145,40.79452896118164,97.4385757446289,100.62720489501953,29.916337966918945
23,-0.990613597382059,-0.9348316678593012,0.00021135593124199659,False,-3.076234817504883,0.2481134533882141,3.828150987625122,3.452192783355713,46.031105041503906,97.86369323730469,100.8560791015625,27.412487030029297
24,-0.9996755925515826,-0.9356597129554182,0.00017779660993255675,False,-3.6120927333831787,-0.6516615152359009,3.283064603805542,3.4475786685943604,46.83431625366211,98.4646987915039,101.4771957397461,27.321439743041992
25,-1.0105280340657914,-0.9300643498708083,0.0001442372886231169,False,-4.015390872955322,-0.513684868812561,2.8181562423706055,3.416773557662964,49.897308349609375,98.58619689941406,101.37114715576172,25.736919403076172
