epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,22.394,22.394,2.141,83.287,73.18,53.0,37.976,79.647,47.7
1,42.436,20.042,2.143,86.639,92.20,0.0,40.179,79.647,50.4
2,62.437,20.002,2.143,87.322,80.37,0.0,40.179,79.647,50.4
3,82.453,20.016,2.141,87.353,97.94,0.0,46.216,79.647,58.0
4,102.388,19.935,2.143,87.200,90.95,35.0,46.216,79.647,58.0
5,122.380,19.992,2.142,85.548,89.54,0.0,46.216,79.647,58.0
6,142.348,19.968,2.141,86.138,81.97,0.0,46.216,79.647,58.0
7,162.326,19.978,2.142,86.552,89.24,89.0,46.216,79.647,58.0
8,182.255,19.929,2.143,87.479,94.10,46.0,46.216,79.647,58.0
9,202.446,20.191,2.142,84.285,66.54,0.0,46.216,79.647,58.0
10,222.617,20.171,2.142,87.274,92.19,46.0,46.216,79.647,58.0
11,242.651,20.034,2.143,87.354,103.58,75.0,46.216,79.647,58.0
12,262.759,20.109,2.142,88.003,81.69,89.0,49.976,79.647,62.7
13,282.957,20.197,2.142,85.513,71.35,0.0,49.976,79.647,62.7
14,302.947,19.990,2.141,85.581,89.94,0.0,49.976,79.647,62.7
15,322.899,19.953,2.140,86.695,85.72,24.0,49.976,79.647,62.7
16,342.971,20.072,2.142,87.469,79.93,0.0,49.976,79.647,62.7
17,362.993,20.022,2.141,87.267,84.14,43.0,49.976,79.647,62.7
18,382.901,19.907,2.141,86.467,78.09,53.0,49.976,79.647,62.7
19,402.694,19.793,2.142,89.111,87.63,0.0,53.751,79.647,67.5
20,422.490,19.796,2.141,87.972,88.65,5.0,53.751,79.647,67.5
21,442.164,19.674,2.142,89.345,88.09,47.0,53.751,79.647,67.5
22,461.842,19.678,2.143,85.449,73.26,0.0,53.751,79.647,67.5
23,481.603,19.761,2.142,86.478,91.91,0.0,53.751,79.647,67.5
24,502.213,20.610,2.142,87.151,89.38,57.0,53.751,79.647,67.5
25,522.983,20.770,2.140,88.373,82.53,0.0,53.751,79.647,67.5
26,543.614,20.631,2.142,87.442,89.93,18.0,53.751,79.647,67.5
27,564.004,20.390,2.142,86.075,90.64,0.0,53.751,79.647,67.5
