epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,21.091,21.091,1.928,57.511,67.65,0.0,43.800,79.647,55.0
1,41.055,19.964,2.058,57.371,64.60,84.0,52.368,79.647,65.7
2,61.141,20.086,2.058,57.475,72.96,89.0,52.368,79.647,65.7
3,81.060,19.918,2.031,56.987,67.78,33.0,52.368,79.647,65.7
4,101.115,20.055,2.033,56.982,70.31,87.0,57.130,79.647,71.7
5,120.992,19.877,2.034,59.933,72.09,0.0,57.130,79.647,71.7
6,141.312,20.320,2.033,77.256,63.07,31.0,57.130,79.647,71.7
7,161.551,20.239,2.034,64.298,61.29,88.0,57.130,79.647,71.7
8,181.750,20.199,2.037,65.736,58.80,20.0,57.130,79.647,71.7
9,202.069,20.320,2.037,61.578,68.67,75.0,57.130,79.647,71.7
10,222.201,20.131,2.037,60.371,56.86,0.0,57.130,79.647,71.7
11,242.414,20.214,2.038,61.210,65.28,0.0,57.130,79.647,71.7
12,262.799,20.384,2.037,60.836,56.19,79.0,57.130,79.647,71.7
13,283.029,20.230,2.038,60.445,65.00,60.0,62.011,79.647,77.9
14,303.053,20.023,2.039,61.451,55.72,84.0,62.011,79.647,77.9
15,323.203,20.150,2.039,60.434,68.67,28.0,62.011,79.647,77.9
16,343.440,20.237,2.037,94.439,67.94,0.0,62.011,79.647,77.9
17,363.701,20.261,2.037,84.767,78.68,0.0,62.011,79.647,77.9
18,383.777,20.075,2.039,85.653,79.72,0.0,62.011,79.647,77.9
19,403.918,20.141,2.037,80.931,87.78,0.0,62.011,79.647,77.9
20,423.893,19.975,2.038,82.082,92.86,48.0,67.015,79.647,84.1
21,443.614,19.721,2.037,79.219,92.74,46.0,67.015,79.647,84.1
22,463.626,20.013,2.039,79.801,86.10,0.0,67.015,79.647,84.1
23,483.594,19.967,2.040,80.335,85.53,79.0,67.015,79.647,84.1
24,503.651,20.058,2.040,80.356,92.20,70.0,67.015,79.647,84.1
25,523.816,20.165,2.040,78.639,73.91,79.0,67.015,79.647,84.1
26,543.916,20.099,2.040,79.526,81.87,88.0,67.015,79.647,84.1
27,563.992,20.076,2.052,80.271,90.43,85.0,67.015,79.647,84.1
