epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,9.712,9.712,1.883,93.573,69.97,77.0,17.196,79.647,21.6
1,17.468,7.756,1.883,93.506,75.22,55.0,20.288,79.647,25.5
2,25.202,7.734,1.883,93.648,78.56,0.0,22.261,79.647,27.9
3,32.945,7.742,1.884,93.852,76.20,35.0,25.692,79.647,32.3
4,40.675,7.730,1.883,93.842,70.43,57.0,27.784,79.647,34.9
5,48.352,7.678,1.883,93.997,74.22,17.0,27.784,79.647,34.9
6,56.079,7.727,1.883,94.012,73.86,22.0,27.784,79.647,34.9
7,63.828,7.749,1.883,94.131,73.86,56.0,27.784,79.647,34.9
8,71.607,7.779,1.883,94.697,77.67,0.0,27.784,79.647,34.9
9,79.356,7.749,1.883,94.592,62.82,60.0,27.784,79.647,34.9
10,87.116,7.760,1.883,94.689,69.19,85.0,27.784,79.647,34.9
11,94.892,7.776,1.884,94.522,79.83,83.0,27.784,79.647,34.9
12,102.632,7.741,1.883,94.560,72.56,32.0,27.784,79.647,34.9
13,110.353,7.721,1.884,94.513,76.94,76.0,27.784,79.647,34.9
14,118.110,7.757,1.884,94.594,68.29,18.0,27.784,79.647,34.9
15,125.867,7.757,1.883,94.549,65.89,81.0,27.784,79.647,34.9
16,133.684,7.817,1.884,94.486,77.09,0.0,27.784,79.647,34.9
17,141.490,7.806,1.885,94.588,77.68,18.0,27.784,79.647,34.9
18,149.268,7.777,1.885,94.539,73.93,75.0,27.784,79.647,34.9
19,157.049,7.781,1.885,94.603,63.99,63.0,27.784,79.647,34.9
20,164.791,7.742,1.884,94.595,63.77,82.0,27.784,79.647,34.9
21,172.549,7.758,1.885,96.193,67.12,47.0,27.784,79.647,34.9
22,180.298,7.749,1.884,95.785,61.46,26.0,27.784,79.647,34.9
23,188.059,7.762,1.885,95.569,76.27,0.0,27.784,79.647,34.9
24,195.789,7.729,1.886,95.467,77.09,0.0,27.784,79.647,34.9
25,203.526,7.737,1.885,95.437,78.33,0.0,27.784,79.647,34.9
26,211.240,7.714,1.884,95.482,78.26,0.0,27.784,79.647,34.9
27,218.976,7.737,1.884,95.465,74.68,0.0,30.948,79.647,38.9
28,226.700,7.724,1.884,95.510,80.72,53.0,30.948,79.647,38.9
29,234.461,7.760,1.885,94.993,76.44,28.0,30.948,79.647,38.9
