epoch,train_loss,val_loss,lr,best_model_is_updated
0,,0.44184115529060364,0.001966481562703848,True
1,0.6043698787689209,0.41726747155189514,0.0018990309908986092,True
2,0.4326595067977905,0.4067310690879822,0.0018315804190933704,True
3,0.4103459119796753,0.41238686442375183,0.0017641297308728099,False
4,0.39076799154281616,0.3946020305156708,0.0016966791590675712,True
5,0.3850637972354889,0.3832545578479767,0.0016292285872623324,True
6,0.37703758478164673,0.3798871636390686,0.0015617778990417719,True
7,0.3744444251060486,0.38171127438545227,0.0014943273272365332,False
8,0.371457040309906,0.37392592430114746,0.0014268766390159726,True
9,0.3663656711578369,0.3753803074359894,0.0013594260672107339,False
10,0.36448290944099426,0.3786666691303253,0.0012919754954054952,False
11,0.3624436855316162,0.37004247307777405,0.0012245248071849346,True
12,0.3611629605293274,0.3713913857936859,0.001157074235379696,False
13,0.3596387803554535,0.36897313594818115,0.0010896236635744572,True
14,0.3568267822265625,0.37728309631347656,0.0010221729753538966,False
15,0.3558509945869446,0.3723262548446655,0.0009547224035486579,False
16,0.35344454646110535,0.3714057505130768,0.0008872717735357583,False
17,0.35158467292785645,0.375545859336853,0.0008198211435228586,False
18,0.3486713171005249,0.36988428235054016,0.0007523705717176199,False
