feature,p25,p50,p75
charge,0.8019892573356628,1.0023244619369507,1.2037558555603027
dom_time,2156.3822140766387747,2481.2725165505444238,3602.2699841873140940
dom_x,-320.0000000000000000,0.0000000000000000,320.0000000000000000
dom_y,-315.0257738807146097,-37.8976446696942730,308.5125168440811194
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string_number,86.0000000000000000,170.0000000000000000,255.0000000000000000
pmt_number,4.0000000000000000,8.0000000000000000,12.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-320.0000000000000000,0.0000000000000000,320.0000000000000000
pmt_y,-314.9345305980048124,-37.7155564565432684,308.6037601267909167
pmt_z,-200.0000000000000000,50.0000000000000000,299.8616391071141720
