feature,p25,p50,p75
charge,0.8020403981208801,1.0023318529129028,1.2037388086318970
dom_time,2338.2810098739219029,3101.4925542512164611,4223.0116962383381178
dom_x,-320.0000000000000000,0.0000000000000000,320.0000000000000000
dom_y,-315.0257738807146097,-37.8976446696942730,308.5125168440811194
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string_number,85.0000000000000000,170.0000000000000000,254.0000000000000000
pmt_number,4.0000000000000000,8.0000000000000000,12.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-320.0000000000000000,0.0000000000000000,320.0000000000000000
pmt_y,-315.1170171634244070,-37.7155564565432684,308.4212735613713221
pmt_z,-200.1160029854420657,49.8839970145579201,299.8616391071141720
