feature,p25,p50,p75
charge,0.8019590377807617,1.0023441314697266,1.2037372589111328
dom_time,2058.7538916433195482,2195.2745611991754231,2406.5096683750061857
dom_x,-320.0000000000000000,0.0000000000000000,320.0000000000000000
dom_y,-315.0257738807146097,-37.8976446696942730,308.5125168440811194
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string_number,85.0000000000000000,170.0000000000000000,255.0000000000000000
pmt_number,4.0000000000000000,8.0000000000000000,12.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-320.0000000000000000,-0.1160029854420793,319.8839970145579059
pmt_y,-315.1170171634244070,-37.7155564565432684,308.6037601267909167
pmt_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
