epoch,train_loss,val_loss,val_opening_angle_p16_deg,val_opening_angle_median_deg,val_opening_angle_p84_deg,val_kappa_mean
0,,-0.32001178887507165,5.150547027587891,11.285642623901367,27.067604064941406,46.53413009643555
1,1.308098946892732,-1.168386590608449,2.786146879196167,6.500821113586426,19.79960823059082,78.62020874023438
2,-0.9441432221069979,-1.3531372084105606,2.3827919960021973,5.56072998046875,18.63102912902832,83.40254974365234
3,-1.2989777549089576,-1.423318971135671,2.273716926574707,5.321161270141602,17.804540634155273,74.65780639648438
4,-1.395415968479845,-1.4711241530404469,2.1016671657562256,5.025114059448242,17.33313751220703,84.28238677978516
5,-1.4597332060498092,-1.4947381842238403,2.0409178733825684,4.978992462158203,17.082134246826172,77.54592895507812
6,-1.4948597049306644,-1.5259248368779559,2.112703800201416,4.934021949768066,16.30071258544922,81.38314056396484
7,-1.530653669169155,-1.4496906545826593,2.5571470260620117,5.471917152404785,16.783851623535156,84.92597198486328
8,-1.5613936518838165,-1.5969305673139775,1.8246123790740967,4.45098876953125,15.766590118408203,80.91950988769531
9,-1.5881388208405463,-1.5276437446447568,2.1961288452148438,4.955259799957275,16.212265014648438,76.66249084472656
10,-1.6208950224718017,-1.5697466998167433,2.1488118171691895,4.850393772125244,15.505614280700684,82.85769653320312
11,-1.6362627914958028,-1.5852957176319422,1.9352079629898071,4.58881139755249,15.624808311462402,83.97994995117188
12,-1.6578520484795287,-1.645454431478003,1.7694079875946045,4.206165313720703,15.02077579498291,87.3761978149414
13,-1.6772631528143134,-1.6378859844892313,1.7355873584747314,4.1902852058410645,15.014284133911133,83.69249725341797
14,-1.6895556982974484,-1.6520517984386545,1.657096028327942,4.101835250854492,14.994694709777832,83.22566223144531
15,-1.707141730264407,-1.647039335252354,1.8011226654052734,4.305633068084717,14.724784851074219,85.20751953125
16,-1.7200047827258733,-1.6595147828512173,1.6616243124008179,4.06576681137085,14.611431121826172,87.67758178710938
17,-1.7326474577353632,-1.6794798907781696,1.5642542839050293,3.915299415588379,14.522955894470215,83.64167785644531
18,-1.7475465238860757,-1.6661942366386309,1.7375895977020264,4.152920246124268,14.529542922973633,83.03047943115234
19,-1.7558422707891863,-1.6765373960047734,1.6524388790130615,4.084016799926758,14.504348754882812,84.46460723876953
20,-1.7664280827984928,-1.6939212092431108,1.5447629690170288,3.8349764347076416,14.29393482208252,83.6124496459961
21,-1.7777979109855977,-1.697102406356431,1.558716893196106,3.8495893478393555,14.331558227539062,84.30561828613281
22,-1.791304480110443,-1.6652536121949022,1.8266911506652832,4.234699726104736,14.419057846069336,86.85875701904297
23,-1.8026024239468428,-1.6812139156904575,1.597041368484497,3.951910972595215,14.322296142578125,83.37846374511719
24,-1.8111090566016022,-1.698920088530996,1.4637353420257568,3.7466230392456055,14.138954162597656,87.64643096923828
25,-1.8241943417615285,-1.6854622081998891,1.5235567092895508,3.868983030319214,14.328341484069824,84.98294830322266
26,-1.827319690456278,-1.6955384715808843,1.4730967283248901,3.7405781745910645,14.272361755371094,84.81836700439453
27,-1.8459866916686183,-1.6517279008414179,1.7633699178695679,4.175800800323486,14.406545639038086,85.2891845703125
28,-1.858423032568279,-1.6658814281742367,1.580273985862732,3.9037563800811768,14.30862808227539,87.98178100585938
29,-1.867711979949389,-1.6513562456995798,1.545035719871521,3.909752368927002,14.450891494750977,89.46647644042969
30,-1.8819863510197101,-1.6643068938428536,1.5719220638275146,3.8685851097106934,14.156723976135254,90.10685729980469
31,-1.8937665045066536,-1.6686622250621532,1.4062215089797974,3.6657919883728027,14.212383270263672,89.32926940917969
32,-1.9062922709024877,-1.6457767417360276,1.4461015462875366,3.7034850120544434,14.34348201751709,89.28413391113281
33,-1.922349110449755,-1.647418448942725,1.5799442529678345,3.8042514324188232,14.10297966003418,88.09919738769531
34,-1.9325894558997212,-1.6349581677832887,1.519300103187561,3.8056790828704834,14.214620590209961,88.21866607666016
35,-1.9501427893736962,-1.6234591630300979,1.5135098695755005,3.7711212635040283,14.42375659942627,89.44976806640625
36,-1.9630984893626326,-1.6248411065444457,1.4428842067718506,3.731029510498047,14.200859069824219,90.27669525146484
37,-1.9765900945573822,-1.5875830519015517,1.5449680089950562,3.820467948913574,14.396560668945312,91.73277282714844
38,-1.995096861138478,-1.5737993391273417,1.397828459739685,3.6780455112457275,14.298619270324707,92.38679504394531
39,-2.0142748019970225,-1.555923660191112,1.4072966575622559,3.6509628295898438,14.358040809631348,92.16650390625
