timestamp,index,utilization_gpu_pct,memory_used_mib,memory_total_mib
2026-07-28T20:48:57-07:00,0, [N/A], 864, 81559
2026-07-28T20:49:57-07:00,0, [N/A], 2092, 81559
2026-07-28T20:50:57-07:00,0, [N/A], 7628, 81559
2026-07-28T20:51:57-07:00,0, [N/A], 19970, 81559
2026-07-28T20:52:57-07:00,0, [N/A], 28228, 81559
2026-07-28T20:53:57-07:00,0, [N/A], 28228, 81559
2026-07-28T20:54:57-07:00,0, [N/A], 28228, 81559
2026-07-28T20:55:58-07:00,0, [N/A], 28228, 81559
2026-07-28T20:56:58-07:00,0, [N/A], 28228, 81559
2026-07-28T20:57:58-07:00,0, [N/A], 28228, 81559
2026-07-28T20:58:58-07:00,0, [N/A], 28228, 81559
2026-07-28T20:59:58-07:00,0, [N/A], 28228, 81559
2026-07-28T21:00:58-07:00,0, [N/A], 28228, 81559
2026-07-28T21:01:58-07:00,0, [N/A], 28368, 81559
2026-07-28T21:02:58-07:00,0, [N/A], 28368, 81559
2026-07-28T21:03:58-07:00,0, [N/A], 28788, 81559
2026-07-28T21:04:58-07:00,0, [N/A], 28788, 81559
2026-07-28T21:05:58-07:00,0, [N/A], 28788, 81559
2026-07-28T21:06:59-07:00,0, [N/A], 28788, 81559
2026-07-28T21:07:59-07:00,0, [N/A], 28788, 81559
2026-07-28T21:08:59-07:00,0, [N/A], 28788, 81559
2026-07-28T21:09:59-07:00,0, [N/A], 28788, 81559
2026-07-28T21:10:59-07:00,0, [N/A], 30168, 81559
2026-07-28T21:11:59-07:00,0, [N/A], 30168, 81559
2026-07-28T21:12:59-07:00,0, [N/A], 30168, 81559
2026-07-28T21:13:59-07:00,0, [N/A], 30168, 81559
2026-07-28T21:14:59-07:00,0, [N/A], 30168, 81559
2026-07-28T21:15:59-07:00,0, [N/A], 30168, 81559
2026-07-28T21:17:00-07:00,0, [N/A], 30168, 81559
2026-07-28T21:18:00-07:00,0, [N/A], 30168, 81559
2026-07-28T21:19:00-07:00,0, [N/A], 30168, 81559
2026-07-28T21:20:00-07:00,0, [N/A], 30168, 81559
2026-07-28T21:21:00-07:00,0, [N/A], 30168, 81559
2026-07-28T21:22:00-07:00,0, [N/A], 30168, 81559
2026-07-28T21:23:00-07:00,0, [N/A], 30168, 81559
2026-07-28T21:24:00-07:00,0, [N/A], 30168, 81559
2026-07-28T21:25:01-07:00,0, [N/A], 30168, 81559
2026-07-28T21:26:01-07:00,0, [N/A], 30168, 81559
2026-07-28T21:27:01-07:00,0, [N/A], 30168, 81559
2026-07-28T21:28:01-07:00,0, [N/A], 30168, 81559
2026-07-28T21:29:01-07:00,0, [N/A], 30168, 81559
2026-07-28T21:30:01-07:00,0, [N/A], 30168, 81559
2026-07-28T21:31:01-07:00,0, [N/A], 30168, 81559
2026-07-28T21:32:01-07:00,0, [N/A], 30168, 81559
2026-07-28T21:33:01-07:00,0, [N/A], 30168, 81559
2026-07-28T21:34:02-07:00,0, [N/A], 30168, 81559
2026-07-28T21:35:02-07:00,0, [N/A], 30168, 81559
2026-07-28T21:36:02-07:00,0, [N/A], 30168, 81559
2026-07-28T21:37:02-07:00,0, [N/A], 30168, 81559
2026-07-28T21:38:02-07:00,0, [N/A], 30168, 81559
2026-07-28T21:39:02-07:00,0, [N/A], 31668, 81559
2026-07-28T21:40:02-07:00,0, [N/A], 31668, 81559
2026-07-28T21:41:02-07:00,0, [N/A], 31668, 81559
2026-07-28T21:42:02-07:00,0, [N/A], 31668, 81559
2026-07-28T21:43:02-07:00,0, [N/A], 31668, 81559
2026-07-28T21:44:02-07:00,0, [N/A], 7842, 81559
2026-07-28T21:45:03-07:00,0, [N/A], 7825, 81559
2026-07-28T21:46:03-07:00,0, [N/A], 13132, 81559
2026-07-28T21:47:03-07:00,0, [N/A], 25966, 81559
2026-07-28T21:48:03-07:00,0, [N/A], 25966, 81559
2026-07-28T21:49:03-07:00,0, [N/A], 26346, 81559
2026-07-28T21:50:03-07:00,0, [N/A], 26346, 81559
2026-07-28T21:51:03-07:00,0, [N/A], 26346, 81559
2026-07-28T21:52:03-07:00,0, [N/A], 29146, 81559
2026-07-28T21:53:03-07:00,0, [N/A], 29146, 81559
2026-07-28T21:54:03-07:00,0, [N/A], 29146, 81559
2026-07-28T21:55:03-07:00,0, [N/A], 29146, 81559
2026-07-28T21:56:04-07:00,0, [N/A], 29146, 81559
2026-07-28T21:57:04-07:00,0, [N/A], 29146, 81559
2026-07-28T21:58:04-07:00,0, [N/A], 29146, 81559
2026-07-28T21:59:04-07:00,0, [N/A], 29146, 81559
2026-07-28T22:00:04-07:00,0, [N/A], 29146, 81559
2026-07-28T22:01:04-07:00,0, [N/A], 29146, 81559
2026-07-28T22:02:04-07:00,0, [N/A], 29146, 81559
2026-07-28T22:03:04-07:00,0, [N/A], 29146, 81559
2026-07-28T22:04:04-07:00,0, [N/A], 29146, 81559
2026-07-28T22:05:04-07:00,0, [N/A], 29146, 81559
2026-07-28T22:06:05-07:00,0, [N/A], 29146, 81559
2026-07-28T22:07:05-07:00,0, [N/A], 29146, 81559
2026-07-28T22:08:05-07:00,0, [N/A], 29146, 81559
2026-07-28T22:09:05-07:00,0, [N/A], 29146, 81559
2026-07-28T22:10:05-07:00,0, [N/A], 29146, 81559
2026-07-28T22:11:05-07:00,0, [N/A], 29146, 81559
2026-07-28T22:12:05-07:00,0, [N/A], 29146, 81559
2026-07-28T22:13:05-07:00,0, [N/A], 29146, 81559
