feature,p25,p50,p75
charge,0.8666375875473022,1.1147147417068481,1.5124882459640503
dom_time,171.2913824071040096,302.1081384927993554,574.3052677743526147
dom_x,-320.0000000000000000,0.0000000000000000,320.0000000000000000
dom_y,-315.0257738807146097,-37.8976446696942730,308.5125168440811194
dom_z,-200.0000000000000000,50.0000000000000000,300.0000000000000000
string_number,88.0000000000000000,170.0000000000000000,254.0000000000000000
pmt_number,5.0000000000000000,8.0000000000000000,13.0000000000000000
dom_number,6.0000000000000000,11.0000000000000000,16.0000000000000000
pmt_x,-319.8986391571229433,0.1013608428770663,319.8986391571229433
pmt_y,-314.9113643115666719,-37.7628408091343175,308.5125168440811194
pmt_z,-200.0000000000000000,50.0000000000000000,299.8855904308520621
