RunID,SubrunID,EventID,SubEventID,energy,zenith,azimuth,finalStateX,finalStateY,columnDepth,oneweight
100,4294967295,1,0,671.6244494943008,2.3811269481431645,1.659255536413187,0.28475966106070755,0.6389981204672232,499071.08376025746,21294609.776159663
100,4294967295,2,0,2139.520475195849,2.4709223259240396,5.155710180023533,0.014529514574428916,0.8327482766876628,884946.2348753983,635979252.518381
100,4294967295,3,0,103.71488447831408,1.8180360326056377,3.5792644278731083,0.4461483945215041,0.550554020024208,274712.4344755714,112706.42399125262
100,4294967295,4,0,12044.87051583876,1.8073693567713591,3.0857496297208433,0.014077115178852947,0.4997575204092086,1532196.3563664875,62233787619.8826
100,4294967295,5,0,192.5558161761541,1.535886230621575,5.101181561716279,0.15737949203492735,0.5089289783696803,317524.66076343734,612847.4203994861
100,4294967295,6,0,220.49576117001914,0.39119026161143683,3.3795337819814355,0.4856139109051556,0.9840641172147817,471810.3846640594,1276389.7318240327
100,4294967295,7,0,4140.947051283587,1.539976707222571,0.5127224795092913,0.11643143469826123,0.4505928717004264,1068143.5617120164,3703424955.4257855
100,4294967295,8,0,344.2085229812852,1.15402590192849,5.344916685416797,0.0805354551100247,0.265894347001356,598707.4874452124,4898355.601322354
100,4294967295,9,0,113.37979987317168,1.2770420352032492,5.360055012903186,0.09750811435821274,0.6459860565240891,487901.1373947434,250350.5194183284
100,4294967295,10,0,124.71315580202922,1.3948130160540837,5.20014142907197,0.15841967149962458,0.5475759608127824,285182.8593568845,185826.04428437634
100,4294967295,11,0,332.51002544889667,1.0374857684885281,2.0330409715854727,0.15183021668409932,0.0621316432691325,378039.8779377184,2838796.969745529
100,4294967295,12,0,5796.70540949149,1.872178905357526,0.3294066844020413,0.08506476448803586,0.6797349374696656,1568902.0458247066,11956432542.893095
100,4294967295,13,0,18705.376053175984,1.2922963546793584,5.632471283380019,0.0296426565605994,0.32545379751446224,534135.7904244554,57802398030.71761
100,4294967295,14,0,690.1167904340175,1.906452378777333,5.349970224739851,0.10051347306036823,0.06962754464854652,868526.6351637502,39620320.60031156
100,4294967295,15,0,3804.2157916201063,1.1664756973995254,5.925922807568174,0.07513459964301206,0.3385953027243921,1193149.34288824,3386292078.7308764
100,4294967295,16,0,51847.44369791714,1.6077140526137192,5.914940235357101,0.009039737191710072,0.5361916696572366,2559094.761799768,2489908031912.7397
100,4294967295,17,0,101.74323537818958,1.4916476934572218,1.9928600861874566,0.3583458325234177,0.9538901387044812,273717.42645006464,107009.98498888986
100,4294967295,18,0,374.0121971463882,1.9738217457538212,5.331485712065703,0.2143911652613687,0.47385805785678675,394605.4916475888,3966357.8364047753
100,4294967295,19,0,1038.3815717379562,2.3766216838191516,5.863316523239422,0.00564323624654778,0.2984596049909304,602639.387811377,74904296.56422094
100,4294967295,20,0,171.7932298938269,1.3164913927338326,4.834976162610026,0.3402334754387274,0.23327696662360722,448411.3003057041,651035.5931727584
100,4294967295,21,0,84921.97994162972,0.9455903564595717,3.9080294178888595,0.0038340445060758292,0.7532657366145283,851576.444501015,2325408357240.616
100,4294967295,22,0,173.30976590855477,0.7803063915624732,1.999462839664356,0.3287328259489196,0.6761656321246403,405684.72858386266,602063.0157837766
100,4294967295,23,0,342.7246701374106,0.91945984581978,6.092293590379074,0.2948718697108747,0.8014737004854797,542870.0371006567,4394219.480065152
100,4294967295,24,0,150.15197316358703,1.1849265278813879,4.724110052660111,0.20784387220961636,0.8408464496851903,326956.4113293148,339075.393422875
100,4294967295,25,0,181.98942174800936,1.7687152912333683,5.792784246772711,0.40425929325829846,0.8645369623607944,312629.093810561,524153.3331636391
100,4294967295,26,0,181.28625528878223,0.8614341231549701,4.590367183812793,0.06793436608478952,0.454911214567719,312301.5204618011,518573.767391076
100,4294967295,27,0,16926.303424834427,2.4214551768246926,6.171968761055456,0.06875608814961463,0.30196317025553016,1803813.2248266377,156541317408.64877
100,4294967295,28,0,155.22998134398188,2.2157989806119396,5.297686580036188,0.4500564576146326,0.194564895836086,454812.0093313977,512571.8775298647
100,4294967295,29,0,188.3959669739404,2.6342657898488047,5.461670745126309,0.18002225630760782,0.9175283725770945,435080.4982724086,795218.1194925226
