epoch,elapsed_min,epoch_duration_min,rss_gb,sys_mem_used_gb,cpu_load_pct,gpu_util_pct,gpu_mem_used_gb,gpu_mem_total_gb,gpu_mem_util_pct
0,8.966,8.966,1.704,87.151,66.74,0.0,22.544,79.647,28.3
1,16.756,7.790,1.713,87.288,76.26,84.0,22.544,79.647,28.3
2,24.522,7.767,1.714,87.243,67.03,0.0,23.151,79.647,29.1
3,32.287,7.765,1.714,87.277,71.37,0.0,26.407,79.647,33.2
4,40.046,7.759,1.713,87.196,68.62,0.0,29.140,79.647,36.6
5,47.847,7.801,1.713,87.380,64.86,0.0,31.897,79.647,40.0
6,55.620,7.773,1.716,87.292,66.92,0.0,31.897,79.647,40.0
7,63.410,7.790,1.716,87.276,71.66,22.0,31.897,79.647,40.0
8,71.248,7.838,1.686,89.027,71.95,20.0,31.897,79.647,40.0
9,79.134,7.886,1.686,88.427,63.34,0.0,31.897,79.647,40.0
10,86.941,7.806,1.686,88.150,69.61,84.0,31.897,79.647,40.0
11,94.686,7.745,1.688,88.161,79.04,0.0,31.897,79.647,40.0
12,102.427,7.741,1.688,88.130,73.18,69.0,31.897,79.647,40.0
13,110.178,7.751,1.687,88.193,77.40,26.0,31.897,79.647,40.0
14,117.899,7.721,1.688,88.335,65.59,56.0,31.897,79.647,40.0
15,125.633,7.734,1.687,88.169,66.12,0.0,31.897,79.647,40.0
16,133.387,7.755,1.687,88.039,79.01,48.0,31.897,79.647,40.0
17,141.129,7.742,1.687,87.743,62.10,69.0,31.897,79.647,40.0
18,148.965,7.836,1.687,87.702,65.70,0.0,31.897,79.647,40.0
19,156.751,7.786,1.687,87.592,65.70,10.0,31.897,79.647,40.0
20,164.510,7.759,1.688,87.592,74.37,7.0,31.897,79.647,40.0
21,172.233,7.723,1.688,87.618,67.17,55.0,31.897,79.647,40.0
22,179.933,7.701,1.688,87.492,68.91,28.0,31.897,79.647,40.0
23,187.644,7.710,1.689,87.567,62.05,24.0,31.897,79.647,40.0
24,195.364,7.721,1.717,87.599,77.18,25.0,31.897,79.647,40.0
25,203.113,7.749,1.772,87.681,74.74,45.0,31.897,79.647,40.0
26,210.911,7.798,1.812,87.732,69.84,0.0,31.897,79.647,40.0
27,218.677,7.766,1.812,87.727,72.06,77.0,31.897,79.647,40.0
